 ssid      name                                 ss created           ss completed     volume         pool              size  lvl
3612305439 RMAN:Manthan_rman_MANTHAN_11_08_2019_lsu8tsbk_1_1.bkp 11-08-2019 06:28:07 11-08-2019 06:37:04 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 2375 MB full
3612305439 RMAN:Manthan_rman_MANTHAN_11_08_2019_lsu8tsbk_1_1.bkp 11-08-2019 06:28:07 11-08-2019 06:37:04 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 2375 MB full
3394202025 RMAN:Manthan_rman_MANTHAN_11_08_2019_ltu8tsnv_1_1.bkp 11-08-2019 06:34:41 11-08-2019 07:00:25 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4194 MB full
3394202025 RMAN:Manthan_rman_MANTHAN_11_08_2019_ltu8tsnv_1_1.bkp 11-08-2019 06:34:41 11-08-2019 07:00:25 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4194 MB full
3159321157 RMAN:Manthan_rman_MANTHAN_11_08_2019_luu8tssq_1_1.bkp 11-08-2019 06:37:17 11-08-2019 07:03:33 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4193 MB full
3159321157 RMAN:Manthan_rman_MANTHAN_11_08_2019_luu8tssq_1_1.bkp 11-08-2019 06:37:17 11-08-2019 07:03:33 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4193 MB full
2119135160 RMAN:Manthan_rman_MANTHAN_11_08_2019_lvu8tu8e_1_1.bkp 11-08-2019 07:00:32 11-08-2019 07:07:20 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4194 MB full
2119135160 RMAN:Manthan_rman_MANTHAN_11_08_2019_lvu8tu8e_1_1.bkp 11-08-2019 07:00:32 11-08-2019 07:07:20 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4194 MB full
2018472049 RMAN:Manthan_rman_MANTHAN_11_08_2019_m0u8tue7_1_1.bkp 11-08-2019 07:03:37 11-08-2019 07:12:16 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 2440 MB full
2018472049 RMAN:Manthan_rman_MANTHAN_11_08_2019_m0u8tue7_1_1.bkp 11-08-2019 07:03:37 11-08-2019 07:12:16 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 2440 MB full
1901031773 RMAN:Manthan_rman_MANTHAN_11_08_2019_m1u8tuli_1_1.bkp 11-08-2019 07:07:33 11-08-2019 07:15:17 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4194 MB full
1901031773 RMAN:Manthan_rman_MANTHAN_11_08_2019_m1u8tuli_1_1.bkp 11-08-2019 07:07:33 11-08-2019 07:15:17 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4194 MB full
1750037124 RMAN:Manthan_rman_MANTHAN_11_08_2019_m2u8tuup_1_1.bkp 11-08-2019 07:12:28 11-08-2019 07:14:04 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 727 MB full
1750037124 RMAN:Manthan_rman_MANTHAN_11_08_2019_m2u8tuup_1_1.bkp 11-08-2019 07:12:28 11-08-2019 07:14:04 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 727 MB full
1699705551 RMAN:Manthan_rman_MANTHAN_11_08_2019_m3u8tv14_1_1.bkp 11-08-2019 07:13:43 11-08-2019 07:25:40 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4194 MB full
1699705551 RMAN:Manthan_rman_MANTHAN_11_08_2019_m3u8tv14_1_1.bkp 11-08-2019 07:13:43 11-08-2019 07:25:40 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4194 MB full
1682928360 RMAN:Manthan_rman_MANTHAN_11_08_2019_m4u8tv1t_1_1.bkp 11-08-2019 07:14:08 11-08-2019 07:22:04 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 2486 MB full
1682928360 RMAN:Manthan_rman_MANTHAN_11_08_2019_m4u8tv1t_1_1.bkp 11-08-2019 07:14:08 11-08-2019 07:22:04 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 2486 MB full
1632596787 RMAN:Manthan_rman_MANTHAN_11_08_2019_m5u8tv49_1_1.bkp 11-08-2019 07:15:23 11-08-2019 07:27:38 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4191 MB full
1632596787 RMAN:Manthan_rman_MANTHAN_11_08_2019_m5u8tv49_1_1.bkp 11-08-2019 07:15:23 11-08-2019 07:27:38 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4191 MB full
1431270610 RMAN:Manthan_rman_MANTHAN_11_08_2019_m6u8tvh8_1_1.bkp 11-08-2019 07:22:18 11-08-2019 07:30:31 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4194 MB full
1431270610 RMAN:Manthan_rman_MANTHAN_11_08_2019_m6u8tvh8_1_1.bkp 11-08-2019 07:22:18 11-08-2019 07:30:31 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4194 MB full
1313830314 RMAN:Manthan_rman_MANTHAN_11_08_2019_m7u8tvnv_1_1.bkp 11-08-2019 07:25:54 11-08-2019 07:31:25 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4126 MB full
1313830314 RMAN:Manthan_rman_MANTHAN_11_08_2019_m7u8tvnv_1_1.bkp 11-08-2019 07:25:54 11-08-2019 07:31:25 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4126 MB full
1246721565 RMAN:Manthan_rman_MANTHAN_11_08_2019_m8u8tvri_1_1.bkp 11-08-2019 07:27:49 11-08-2019 07:34:31 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 2494 MB full
1246721565 RMAN:Manthan_rman_MANTHAN_11_08_2019_m8u8tvri_1_1.bkp 11-08-2019 07:27:49 11-08-2019 07:34:31 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 2494 MB full
1146058442 /nsr/applogs                      11-08-2019 07:30:42   11-08-2019 07:30:46 PRORMANNSRMSGLog.001 PRORMANNSRMSGLog 20 MB full
1146058442 /nsr/applogs                      11-08-2019 07:30:42   11-08-2019 07:30:46 RMANNSRMSGLogCLN.001 RMANNSRMSGLogCLN 20 MB full
1129281228 RMAN:Manthan_rman_MANTHAN_11_08_2019_m9u8u011_1_1.bkp 11-08-2019 07:30:44 11-08-2019 07:41:34 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4193 MB full
1129281228 RMAN:Manthan_rman_MANTHAN_11_08_2019_m9u8u011_1_1.bkp 11-08-2019 07:30:44 11-08-2019 07:41:34 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4193 MB full
1062172419 RMAN:Manthan_rman_MANTHAN_11_08_2019_mau8u02o_1_1.bkp 11-08-2019 07:31:39 11-08-2019 07:38:20 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4194 MB full
1062172419 RMAN:Manthan_rman_MANTHAN_11_08_2019_mau8u02o_1_1.bkp 11-08-2019 07:31:39 11-08-2019 07:38:20 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4194 MB full
894400444  RMAN:Manthan_rman_MANTHAN_11_08_2019_mbu8u08i_1_1.bkp 11-08-2019 07:34:44 11-08-2019 07:54:34 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4187 MB full
894400444  RMAN:Manthan_rman_MANTHAN_11_08_2019_mbu8u08i_1_1.bkp 11-08-2019 07:34:44 11-08-2019 07:54:34 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4187 MB full
793737373  RMAN:Manthan_rman_MANTHAN_11_08_2019_mcu8u0fj_1_1.bkp 11-08-2019 07:38:29 11-08-2019 07:45:00 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 2419 MB full
